Risk Number,Date Raised,Raised By,Risk Item,Risk Issue,Impact Statement,Impacted Area,Risk Category,Related Laws/Regulations,Non-Compliance Impact,Probability (Initial),Impact (Initial),Initial Risk Score,Initial Risk Rating,Outcome Definition,Risk Owner,Controls/Mitigations,Probability (Residual),Impact (Residual),Residual Risk Score,Residual Risk Rating,Actions Text (Current),Notes / History,Risk Status,Review Date,Age (Days),Source Department,Source Last Review Date,Source Due Date
1001,15/01/2025,A. Smith,Major Network Outage,Failure of core switching hardware,Complete loss of external connectivity for all users; 3 days of lost productivity.,IT Infrastructure,Technology,None,N/A,4,5,20,Critical,Restore network services within 4 hours.,Network Manager,Full hardware redundancy and quarterly failover testing.,2,3,6,Medium,Schedule replacement of edge switches Q4 2025.,"Initial risk identified during data centre audit.,",Open,01/03/2026,308,IT Services,01/09/2025,01/02/2026
1002,01/02/2025,B. Jones,Key Staff Resignation,Loss of single point of knowledge for legacy system.,Project dependency delays; potential data loss if handover fails.,HR/Project Management,Operational,Employment Law,Litigation risk.,3,4,12,High,Knowledge transfer completed within 4 weeks of notice.,HR Director,Cross-training plan established for two junior team members.,2,2,4,Low,Recruit backfill candidate within 60 days.,"High impact due to key project nearing delivery.,",In Progress,10/12/2025,291,Finance,15/08/2025,01/11/2025
1003,20/03/2025,C. Clark,GDPR Fine due to Data Leak,Employee error leading to PII exposure.,Regulatory fine up to 4% of global revenue. Significant reputational damage.,Legal/Compliance,Compliance,"GDPR, PECR",Maximum fine from ICO.,5,5,25,Critical,Zero PII incidents reported within 12 months.,Compliance Officer,Mandatory annual data handling training and DLP software implementation.,1,2,2,Low,Audit DLP software effectiveness (Q4 2025).,"Risk status raised from 'High' due to recent industry breach.,",Open,15/02/2026,244,Legal,01/10/2025,01/01/2026
1004,05/04/2025,D. Davis,Failure to meet SLA (Support),Insufficient staffing in Level 1 support team.,Contractual penalties for missed response times; loss of key client.,Customer Service,Contractual,Contract Law,Contract termination or clawback.,3,3,9,Medium,Achieve 95% SLA compliance across all contracts.,Service Delivery Lead,Hire 4 additional support agents and implement new ticketing system.,3,2,6,Medium,Monitor average response time weekly.,"Recruitment drive started on 2025-10-01.,",In Progress,30/11/2025,228,Customer Service,01/09/2025,20/11/2025
1005,12/05/2025,E. Evans,Supply Chain Disruption,Single supplier dependency for critical hardware.,"6-month delay on new server procurement, halting key projects.",Procurement,Operational,None,N/A,4,3,12,High,Establish dual-vendor strategy by year-end.,Procurement Manager,Identify three alternative suppliers and negotiate framework agreements.,2,2,4,Low,Finalise vendor contract with Vendor B.,"Dependency identified during annual budget review.,",Closed,01/10/2025,190,Procurement,01/10/2025,01/10/2025
1006,01/06/2025,F. Frost,Cloud Cost Overruns,Inefficient resource usage in public cloud environment.,Budget deficit of $200k in Q3/Q4.,Finance/IT,Financial,None,N/A,3,2,6,Medium,Reduce cloud spend by 15% through optimization.,CFO,Implement automated resource scaling and rightsizing of VMs.,2,1,2,Low,Run cost optimization script weekly.,"Initial risk based on Q2 forecast data.,",Open,05/12/2025,170,IT Infrastructure,20/07/2025,01/12/2025
1007,10/07/2025,G. Green,Outdated Security Policies,Policies do not reflect zero-trust principles.,Audit failure and inability to secure remote workforce.,Security,Compliance,NIST SP 800-53,Major non-conformance.,2,4,8,Medium,Fully update security policies to Zero-Trust model.,CISO,Draft and circulate new policies for legal review.,1,3,3,Low,Submit final policy draft to board for approval.,"Policy review triggered by external security consultant report.,",In Progress,15/04/2026,131,Security,10/10/2025,30/03/2026
1008,01/08/2025,H. Hall,Fire Safety System Failure,Expired maintenance contract on server room fire suppression.,Total loss of data centre due to fire.,Facilities,Operational,Local Fire Regulations,Building closure and major equipment replacement.,2,5,10,Medium,Renew all facility maintenance contracts on time.,Facilities Manager,Urgent renewal of maintenance contract; implement contract tracking software.,1,1,1,Low,Confirm contract renewal status weekly.,"Urgent risk reported by facilities staff.,",Closed,15/10/2025,110,Facilities,15/10/2025,15/10/2025
1009,05/09/2025,I. Iyer,Key Software Bug,Known vulnerability in core ERP system.,Financial reporting errors and data corruption.,Finance,Technology,SOX Compliance,"Misstated earnings, regulatory penalties.",3,5,15,High,Patch and test ERP system within 30 days of release.,Applications Manager,Plan and execute system patch deployment; communicate downtime.,2,2,4,Low,Verify successful deployment of patch 1.2.3.,"Vendor released critical patch advisory.,",Open,25/11/2025,77,Applications,01/10/2025,20/11/2025
1010,10/10/2025,J. James,Inaccurate Budget Forecasts,"Reliance on manual, error-prone spreadsheet models.",Misallocation of capital; failure to secure key funding.,Finance,Financial,None,N/A,4,3,12,High,"Implement a new, validated financial modelling system.",Finance Analyst,Procure and integrate automated financial planning software.,3,1,3,Low,Finalise requirements for new FP&A software.,"Risk identified in post-mortem of Q3 budget review.,",In Progress,05/01/2026,42,Finance,01/11/2025,01/01/2026
