Risk Number,Date Raised,Raised By,Risk Item,Risk Issue,Impact Statement,Impacted Area,Risk Category,Related Laws/Regulations,Non-Compliance Impact,Probability (Initial),Impact (Initial),Initial Risk Score,Initial Risk Rating,Outcome Definition,Risk Owner,Controls/Mitigations,Probability (Residual),Impact (Residual),Residual Risk Score,Residual Risk Rating,Actions Text (Current),Notes / History,Risk Status,Review Date,Age (Days),Source Department,Source Last Review Date,Source Due Date
1001,2025-01-15,A. Smith,"Major Network Outage","Failure of core switching hardware","Complete loss of external connectivity for all users; 3 days of lost productivity.","IT Infrastructure",Technology,"None","N/A",4,5,20,Critical,"Restore network services within 4 hours.","Network Manager","Full hardware redundancy and quarterly failover testing.","2","3","6",Medium,"Schedule replacement of edge switches Q4 2025.","Initial risk identified during data centre audit.,",Open,2026-03-01,308,IT Services,2025-09-01,2026-02-01
1002,2025-02-01,B. Jones,"Key Staff Resignation","Loss of single point of knowledge for legacy system.","Project dependency delays; potential data loss if handover fails.","HR/Project Management",Operational,"Employment Law","Litigation risk.",3,4,12,High,"Knowledge transfer completed within 4 weeks of notice.","HR Director","Cross-training plan established for two junior team members.","2","2","4",Low,"Recruit backfill candidate within 60 days.","High impact due to key project nearing delivery.,",In Progress,2025-12-10,291,Finance,2025-08-15,2025-11-01
1003,2025-03-20,C. Clark,"GDPR Fine due to Data Leak","Employee error leading to PII exposure.","Regulatory fine up to 4% of global revenue. Significant reputational damage.","Legal/Compliance",Compliance,"GDPR, PECR","Maximum fine from ICO.","5",5,25,Critical,"Zero PII incidents reported within 12 months.","Compliance Officer","Mandatory annual data handling training and DLP software implementation.","1","2","2",Low,"Audit DLP software effectiveness (Q4 2025).","Risk status raised from 'High' due to recent industry breach.,",Open,2026-02-15,244,Legal,2025-10-01,2026-01-01
1004,2025-04-05,D. Davis,"Failure to meet SLA (Support)","Insufficient staffing in Level 1 support team.","Contractual penalties for missed response times; loss of key client.","Customer Service",Contractual,"Contract Law","Contract termination or clawback.",3,3,9,Medium,"Achieve 95% SLA compliance across all contracts.","Service Delivery Lead","Hire 4 additional support agents and implement new ticketing system.","3","2","6",Medium,"Monitor average response time weekly.","Recruitment drive started on 2025-10-01.,",In Progress,2025-11-30,228,Customer Service,2025-09-01,2025-11-20
1005,2025-05-12,E. Evans,"Supply Chain Disruption","Single supplier dependency for critical hardware.","6-month delay on new server procurement, halting key projects.","Procurement",Operational,"None","N/A",4,3,12,High,"Establish dual-vendor strategy by year-end.","Procurement Manager","Identify three alternative suppliers and negotiate framework agreements.","2","2","4",Low,"Finalise vendor contract with Vendor B.","Dependency identified during annual budget review.,",Closed,2025-10-01,190,Procurement,2025-10-01,2025-10-01
1006,2025-06-01,F. Frost,"Cloud Cost Overruns","Inefficient resource usage in public cloud environment.","Budget deficit of $200k in Q3/Q4.","Finance/IT",Financial,"None","N/A",3,2,6,Medium,"Reduce cloud spend by 15% through optimization.","CFO","Implement automated resource scaling and rightsizing of VMs.","2","1","2",Low,"Run cost optimization script weekly.","Initial risk based on Q2 forecast data.,",Open,2025-12-05,170,IT Infrastructure,2025-07-20,2025-12-01
1007,2025-07-10,G. Green,"Outdated Security Policies","Policies do not reflect zero-trust principles.","Audit failure and inability to secure remote workforce.","Security",Compliance,"NIST SP 800-53","Major non-conformance.","2",4,8,Medium,"Fully update security policies to Zero-Trust model.","CISO","Draft and circulate new policies for legal review.","1","3","3",Low,"Submit final policy draft to board for approval.","Policy review triggered by external security consultant report.,",In Progress,2026-04-15,131,Security,2025-10-10,2026-03-30
1008,2025-08-01,H. Hall,"Fire Safety System Failure","Expired maintenance contract on server room fire suppression.","Total loss of data centre due to fire.","Facilities",Operational,"Local Fire Regulations","Building closure and major equipment replacement.","2",5,10,Medium,"Renew all facility maintenance contracts on time.","Facilities Manager","Urgent renewal of maintenance contract; implement contract tracking software.","1","1","1",Low,"Confirm contract renewal status weekly.","Urgent risk reported by facilities staff.,",Closed,2025-10-15,110,Facilities,2025-10-15,2025-10-15
1009,2025-09-05,I. Iyer,"Key Software Bug","Known vulnerability in core ERP system.","Financial reporting errors and data corruption.","Finance",Technology,"SOX Compliance","Misstated earnings, regulatory penalties.","3",5,15,High,"Patch and test ERP system within 30 days of release.","Applications Manager","Plan and execute system patch deployment; communicate downtime.","2","2","4",Low,"Verify successful deployment of patch 1.2.3.","Vendor released critical patch advisory.,",Open,2025-11-25,77,Applications,2025-10-01,2025-11-20
1010,2025-10-10,J. James,"Inaccurate Budget Forecasts","Reliance on manual, error-prone spreadsheet models.","Misallocation of capital; failure to secure key funding.","Finance",Financial,"None","N/A",4,3,12,High,"Implement a new, validated financial modelling system.","Finance Analyst","Procure and integrate automated financial planning software.","3","1","3",Low,"Finalise requirements for new FP&A software.","Risk identified in post-mortem of Q3 budget review.,",In Progress,2026-01-05,42,Finance,2025-11-01,2026-01-01
